Time,Voltage(V),Current(A),Power(W),Energy(J),Batt(%)
5.10,12.0,4.09,49.03,232.50,99.9
5.11,12.0,4.09,49.09,232.89,99.9
5.12,12.0,4.10,49.14,233.29,99.9
5.12,12.0,4.10,49.19,233.68,99.9
5.13,12.0,4.10,49.24,234.07,99.9
5.14,12.0,4.11,49.28,234.47,99.9
5.14,12.0,4.11,49.31,234.86,99.9
5.16,12.0,4.11,49.35,235.26,99.9
5.16,12.0,4.11,49.38,235.65,99.9
5.17,12.0,4.12,49.40,236.05,99.9
5.18,12.0,4.12,49.43,236.44,99.9
5.19,12.0,4.12,49.45,236.84,99.9
5.19,12.0,4.12,49.47,237.23,99.9
5.20,12.0,4.12,49.48,237.63,99.9
5.21,12.0,4.12,49.50,238.03,99.9
5.22,12.0,4.13,49.51,238.42,99.9
5.23,12.0,4.13,49.53,238.82,99.9
5.24,12.0,4.13,49.54,239.22,99.9
5.25,12.0,4.13,49.55,239.61,99.9
5.26,12.0,4.13,49.56,240.01,99.9
5.27,12.0,4.13,49.56,240.40,99.9
5.28,12.0,4.13,49.57,240.80,99.9
5.29,12.0,4.13,49.58,241.20,99.9
5.30,12.0,4.13,49.58,241.59,99.9
5.31,12.0,4.13,49.59,241.99,99.9
5.31,12.0,4.13,49.60,242.39,99.9
5.32,12.0,4.13,49.60,242.78,99.9
5.33,12.0,4.13,49.60,243.18,99.9
5.34,12.0,4.13,49.61,243.58,99.9
5.35,12.0,4.13,49.61,243.98,99.9
5.36,12.0,4.13,49.61,244.37,99.9
5.36,12.0,4.13,49.62,244.77,99.9
5.37,12.0,4.13,49.62,245.17,99.9
5.38,12.0,4.14,49.62,245.56,99.9
5.38,12.0,4.14,49.62,245.96,99.9
5.39,12.0,4.14,49.62,246.36,99.9
5.40,12.0,4.14,49.63,246.75,99.9
5.40,12.0,4.14,49.63,247.15,99.9
5.41,12.0,4.14,49.63,247.55,99.9
5.42,12.0,4.14,49.63,247.94,99.9
5.43,12.0,0.67,8.01,248.01,99.9
5.44,12.0,0.67,8.01,248.07,99.9
5.45,12.0,0.67,8.01,248.14,99.9
5.45,12.0,0.67,8.01,248.20,99.9
5.46,12.0,0.67,8.01,248.27,99.9
5.47,12.0,0.67,8.01,248.33,99.9
5.48,12.0,0.67,8.01,248.39,99.9
5.49,12.0,2.09,25.13,248.59,99.9
5.50,12.0,2.30,27.58,248.82,99.9
5.51,12.0,2.48,29.79,249.05,99.9
5.52,12.0,2.65,31.77,249.31,99.9
5.53,12.0,2.80,33.56,249.58,99.9
5.54,12.0,2.93,35.17,249.86,99.9
5.55,12.0,3.05,36.62,250.15,99.9
5.56,12.0,3.16,37.92,250.45,99.9
5.57,12.0,3.26,39.09,250.77,99.9
5.58,12.0,3.35,40.14,251.09,99.9
5.59,12.0,3.42,41.09,251.42,99.9
5.60,12.0,3.50,41.95,251.75,99.9
5.60,12.0,3.56,42.72,252.09,99.9
5.61,12.0,3.62,43.41,252.44,99.9
5.62,12.0,3.67,44.03,252.79,99.9
5.63,12.0,3.72,44.59,253.15,99.9
5.63,12.0,3.76,45.10,253.51,99.9
5.64,12.0,3.80,45.55,253.88,99.9
5.65,12.0,3.83,45.96,254.24,99.9
5.65,12.0,3.86,46.33,254.61,99.9
5.66,12.0,3.89,46.66,254.99,99.9
5.67,12.0,3.91,46.96,255.36,99.9
5.67,12.0,3.94,47.23,255.74,99.9
5.68,12.0,3.96,47.47,256.12,99.9
5.69,12.0,3.97,47.68,256.50,99.9
5.70,12.0,3.99,47.88,256.88,99.9
5.71,12.0,4.00,48.06,257.27,99.9
5.72,12.0,4.02,48.21,257.65,99.9
5.72,12.0,4.03,48.36,258.04,99.9
5.73,12.0,4.04,48.48,258.43,99.9
5.74,12.0,4.05,48.60,258.82,99.9
5.75,12.0,4.06,48.70,259.21,99.9
5.76,12.0,4.07,48.80,259.60,99.9
5.77,12.0,4.07,48.88,259.99,99.9
5.78,12.0,4.08,48.96,260.38,99.9
5.79,12.0,4.09,49.03,260.77,99.9
5.80,12.0,4.09,49.09,261.17,99.9
5.81,12.0,4.10,49.14,261.56,99.9
5.82,12.0,4.10,49.19,261.95,99.9
5.83,12.0,4.10,49.24,262.35,99.9
5.84,12.0,4.11,49.28,262.74,99.9
5.85,12.0,4.11,49.31,263.14,99.9
5.86,12.0,4.11,49.35,263.53,99.9
5.87,12.0,4.11,49.38,263.92,99.9
5.88,12.0,4.12,49.40,264.32,99.9
5.88,12.0,0.67,8.01,264.38,99.9
5.89,12.0,0.67,8.01,264.45,99.9
5.90,12.0,0.67,8.01,264.51,99.9
5.91,12.0,0.67,8.01,264.58,99.9
5.91,12.0,0.67,8.01,264.64,99.9
5.92,12.0,0.67,8.01,264.70,99.9
5.92,12.0,0.67,8.01,264.77,99.9
5.93,12.0,0.67,8.01,264.83,99.9
5.94,12.0,0.67,8.01,264.90,99.9
5.95,12.0,0.67,8.01,264.96,99.9
5.95,12.0,0.67,8.01,265.03,99.9
5.96,12.0,0.67,8.01,265.09,99.9
5.97,12.0,0.67,8.01,265.15,99.9
5.98,12.0,0.67,8.01,265.22,99.9
5.99,12.0,0.67,8.01,265.28,99.9
6.00,12.0,0.67,8.01,265.35,99.9
6.00,12.0,0.67,8.01,265.41,99.9
6.01,12.0,0.67,8.01,265.47,99.9
6.02,12.0,0.67,8.01,265.54,99.9
6.03,12.0,0.67,8.01,265.60,99.9
6.04,12.0,0.67,8.01,265.67,99.9
6.05,12.0,0.67,8.01,265.73,99.9
6.07,12.0,0.67,8.01,265.79,99.9
6.08,12.0,0.67,8.01,265.86,99.9
6.09,12.0,0.67,8.01,265.92,99.9
6.10,12.0,0.67,8.01,265.99,99.9
6.11,12.0,0.67,8.01,266.05,99.9
6.12,12.0,0.67,8.01,266.11,99.9
6.12,12.0,0.67,8.01,266.18,99.9
6.13,12.0,0.67,8.01,266.24,99.9
6.14,12.0,0.67,8.01,266.31,99.9
6.15,12.0,0.67,8.01,266.37,99.9
6.16,12.0,0.67,8.01,266.43,99.9
6.16,12.0,0.67,8.01,266.50,99.9
6.17,12.0,0.67,8.01,266.56,99.9
6.18,12.0,0.67,8.01,266.63,99.9
6.19,12.0,0.67,8.01,266.69,99.9
6.19,12.0,0.67,8.01,266.76,99.9
6.20,12.0,0.67,8.01,266.82,99.9
6.21,12.0,0.67,8.01,266.88,99.9
6.21,12.0,0.67,8.01,266.95,99.9
6.22,12.0,0.67,8.01,267.01,99.9
6.23,12.0,0.67,8.01,267.08,99.9
6.24,12.0,0.67,8.01,267.14,99.9
6.24,12.0,0.67,8.01,267.20,99.9
6.25,12.0,0.67,8.01,267.27,99.9
6.26,12.0,0.67,8.01,267.33,99.9
6.27,12.0,0.67,8.01,267.40,99.9
6.28,12.0,0.67,8.01,267.46,99.9
6.29,12.0,0.67,8.01,267.52,99.9
6.30,12.0,0.67,8.01,267.59,99.9
6.31,12.0,0.67,8.01,267.65,99.9
6.32,12.0,0.67,8.01,267.72,99.9
6.33,12.0,0.67,8.01,267.78,99.9
6.34,12.0,0.67,8.01,267.84,99.9
6.35,12.0,0.67,8.01,267.91,99.9
6.36,12.0,0.67,8.01,267.97,99.9
6.37,12.0,0.67,8.01,268.04,99.9
6.38,12.0,0.67,8.01,268.10,99.9
6.38,12.0,0.67,8.01,268.16,99.9
6.39,12.0,0.67,8.01,268.23,99.9
6.40,12.0,0.67,8.01,268.29,99.9
6.41,12.0,0.67,8.01,268.36,99.9
6.42,12.0,0.67,8.01,268.42,99.9
6.43,12.0,0.67,8.01,268.49,99.9
6.43,12.0,0.67,8.01,268.55,99.9
6.44,12.0,0.67,8.01,268.61,99.9
6.45,12.0,0.67,8.01,268.68,99.9
6.45,12.0,0.67,8.01,268.74,99.9
6.46,12.0,0.67,8.01,268.81,99.9
6.47,12.0,0.67,8.01,268.87,99.9
6.47,12.0,0.67,8.01,268.93,99.9
6.48,12.0,0.67,8.01,269.00,99.9
6.49,12.0,0.67,8.01,269.06,99.9
6.50,12.0,0.67,8.01,269.13,99.9
6.51,12.0,0.67,8.01,269.19,99.9
6.52,12.0,0.67,8.01,269.25,99.9
6.53,12.0,0.67,8.01,269.32,99.9
6.53,12.0,0.67,8.01,269.38,99.9
6.54,12.0,0.67,8.01,269.45,99.9
6.55,12.0,0.67,8.01,269.51,99.9
6.56,12.0,0.67,8.01,269.57,99.9
6.57,12.0,0.67,8.01,269.64,99.9
6.58,12.0,0.67,8.01,269.70,99.9
6.59,12.0,0.67,8.01,269.77,99.9
6.60,12.0,0.67,8.01,269.83,99.9
6.61,12.0,0.67,8.01,269.90,99.9
6.62,12.0,0.67,8.01,269.96,99.9
6.63,12.0,0.67,8.01,270.02,99.9
6.64,12.0,0.67,8.01,270.09,99.9
6.65,12.0,0.67,8.01,270.15,99.9
6.66,12.0,0.67,8.01,270.22,99.9
6.67,12.0,0.67,8.01,270.28,99.9
6.67,12.0,0.67,8.01,270.34,99.9
6.68,12.0,0.67,8.01,270.41,99.9
6.69,12.0,0.67,8.01,270.47,99.9
6.70,12.0,0.67,8.01,270.54,99.9
6.70,12.0,0.67,8.01,270.60,99.9
6.71,12.0,0.67,8.01,270.66,99.9
6.72,12.0,0.67,8.01,270.73,99.9
6.72,12.0,0.67,8.01,270.79,99.9
6.73,12.0,0.67,8.01,270.86,99.9
6.74,12.0,0.67,8.01,270.92,99.9
6.75,12.0,0.67,8.01,270.98,99.9
6.75,12.0,0.67,8.01,271.05,99.9
6.76,12.0,0.67,8.01,271.11,99.9
6.77,12.0,0.67,8.01,271.18,99.9
6.78,12.0,0.67,8.01,271.24,99.9
6.79,12.0,0.67,8.01,271.30,99.9
6.80,12.0,0.67,8.01,271.37,99.9
6.81,12.0,0.67,8.01,271.43,99.9
6.82,12.0,0.67,8.01,271.50,99.9
6.83,12.0,0.67,8.01,271.56,99.9
6.84,12.0,0.67,8.01,271.63,99.9
6.85,12.0,0.67,8.01,271.69,99.9
6.86,12.0,0.67,8.01,271.75,99.9
6.87,12.0,0.67,8.01,271.82,99.9
6.88,12.0,0.67,8.01,271.88,99.9
6.89,12.0,0.67,8.01,271.95,99.9
6.90,12.0,0.67,8.01,272.01,99.9
6.90,12.0,0.67,8.01,272.07,99.9
6.91,12.0,0.67,8.01,272.14,99.9
6.92,12.0,0.67,8.01,272.20,99.9
6.93,12.0,0.67,8.01,272.27,99.9
6.94,12.0,0.67,8.01,272.33,99.9
6.95,12.0,0.67,8.01,272.39,99.9
6.95,12.0,0.67,8.01,272.46,99.9
6.96,12.0,0.67,8.01,272.52,99.9
6.97,12.0,0.67,8.01,272.59,99.9
6.97,12.0,0.67,8.01,272.65,99.9
6.98,12.0,0.67,8.01,272.71,99.9
6.99,12.0,0.67,8.01,272.78,99.9
7.00,12.0,0.67,8.01,272.84,99.9
7.00,12.0,0.67,8.01,272.91,99.9
7.01,12.0,0.67,8.01,272.97,99.9
7.02,12.0,0.67,8.01,273.04,99.9
7.02,12.0,0.67,8.01,273.10,99.9
7.03,12.0,0.67,8.01,273.16,99.9
7.04,12.0,0.67,8.01,273.23,99.9
7.05,12.0,0.67,8.01,273.29,99.9
7.06,12.0,0.67,8.01,273.36,99.9
7.07,12.0,0.67,8.01,273.42,99.9
7.08,12.0,0.67,8.01,273.48,99.9
7.09,12.0,0.67,8.01,273.55,99.9
7.10,12.0,0.67,8.01,273.61,99.9
7.11,12.0,0.67,8.01,273.68,99.9
7.12,12.0,0.67,8.01,273.74,99.9
7.13,12.0,0.67,8.01,273.80,99.9
7.14,12.0,0.67,8.01,273.87,99.9
7.15,12.0,0.67,8.01,273.93,99.9
7.16,12.0,0.67,8.01,274.00,99.9
7.17,12.0,0.67,8.01,274.06,99.9
7.18,12.0,0.67,8.01,274.12,99.9
7.19,12.0,0.67,8.01,274.19,99.9
7.19,12.0,0.67,8.01,274.25,99.9
7.20,12.0,0.67,8.01,274.32,99.9
7.21,12.0,0.67,8.01,274.38,99.9
7.22,12.0,0.67,8.01,274.44,99.9
7.23,12.0,0.67,8.01,274.51,99.9
7.24,12.0,0.67,8.01,274.57,99.9
7.24,12.0,0.67,8.01,274.64,99.9
7.25,12.0,0.67,8.01,274.70,99.9
7.26,12.0,0.67,8.01,274.77,99.9
7.26,12.0,0.67,8.01,274.83,99.9
7.27,12.0,0.67,8.01,274.89,99.9
7.28,12.0,0.67,8.01,274.96,99.9
7.28,12.0,0.67,8.01,275.02,99.9
7.29,12.0,0.67,8.01,275.09,99.9
7.30,12.0,0.67,8.01,275.15,99.9
7.31,12.0,0.67,8.01,275.21,99.9
7.32,12.0,0.67,8.01,275.28,99.9
7.32,12.0,0.67,8.01,275.34,99.9
7.33,12.0,0.67,8.01,275.41,99.9
7.34,12.0,0.67,8.01,275.47,99.9
7.35,12.0,0.67,8.01,275.53,99.9
7.36,12.0,0.67,8.01,275.60,99.9
7.37,12.0,0.67,8.01,275.66,99.9
7.38,12.0,2.09,25.13,275.86,99.9
7.39,12.0,2.30,27.58,276.08,99.9
7.40,12.0,2.48,29.79,276.32,99.9
7.41,12.0,2.65,31.77,276.58,99.9
7.42,12.0,2.80,33.56,276.85,99.9
7.43,12.0,2.93,35.17,277.13,99.9
7.44,12.0,3.05,36.62,277.42,99.9
7.45,12.0,3.16,37.92,277.72,99.9
7.46,12.0,3.26,39.09,278.04,99.9
7.47,12.0,3.35,40.14,278.36,99.9
7.48,12.0,3.42,41.09,278.69,99.9
7.48,12.0,3.50,41.95,279.02,99.9
7.49,12.0,3.56,42.72,279.36,99.9
7.50,12.0,3.62,43.41,279.71,99.9
7.51,12.0,3.67,44.03,280.06,99.9
7.51,12.0,3.72,44.59,280.42,99.9
7.52,12.0,3.76,45.10,280.78,99.9
7.53,12.0,3.80,45.55,281.14,99.9
7.53,12.0,3.83,45.96,281.51,99.9
7.54,12.0,3.86,46.33,281.88,99.9
7.55,12.0,3.89,46.66,282.26,99.9
7.56,12.0,3.91,46.96,282.63,99.9
7.56,12.0,3.94,47.23,283.01,99.9
7.57,12.0,3.96,47.47,283.39,99.9
7.58,12.0,3.97,47.68,283.77,99.9
7.59,12.0,3.99,47.88,284.15,99.9
7.60,12.0,4.00,48.06,284.54,99.9
7.61,12.0,4.02,48.21,284.92,99.9
7.62,12.0,4.03,48.36,285.31,99.9
7.63,12.0,4.04,48.48,285.70,99.9
7.64,12.0,4.05,48.60,286.09,99.9
7.65,12.0,4.06,48.70,286.48,99.9
7.66,12.0,4.07,48.80,286.87,99.9
7.67,12.0,4.07,48.88,287.26,99.9
7.68,12.0,4.08,48.96,287.65,99.9
7.69,12.0,4.09,49.03,288.04,99.9
7.70,12.0,4.09,49.09,288.43,99.9
7.71,12.0,4.10,49.14,288.83,99.9
7.72,12.0,4.10,49.19,289.22,99.9
7.72,12.0,4.10,49.24,289.62,99.9
7.73,12.0,4.11,49.28,290.01,99.9
7.74,12.0,4.11,49.31,290.40,99.9
7.75,12.0,4.11,49.35,290.80,99.9
7.76,12.0,4.11,49.38,291.19,99.9
7.77,12.0,4.12,49.40,291.59,99.9
7.77,12.0,4.12,49.43,291.98,99.9
7.78,12.0,4.12,49.45,292.38,99.9
7.79,12.0,4.12,49.47,292.78,99.9
7.80,12.0,4.12,49.48,293.17,99.9
7.80,12.0,4.12,49.50,293.57,99.9
7.81,12.0,4.13,49.51,293.96,99.9
7.82,12.0,4.13,49.53,294.36,99.9
7.82,12.0,4.13,49.54,294.76,99.9
7.83,12.0,4.13,49.55,295.15,99.9
7.84,12.0,4.13,49.56,295.55,99.9
7.84,12.0,4.13,49.56,295.95,99.9
7.85,12.0,4.13,49.57,296.34,99.9
7.86,12.0,4.13,49.58,296.74,99.9
7.87,12.0,4.13,49.58,297.14,99.9
7.88,12.0,4.13,49.59,297.53,99.9
7.89,12.0,4.13,49.60,297.93,99.9
7.90,12.0,4.13,49.60,298.33,99.9
7.91,12.0,4.13,49.60,298.72,99.9
7.92,12.0,4.13,49.61,299.12,99.9
7.93,12.0,4.13,49.61,299.52,99.9
7.94,12.0,4.13,49.61,299.91,99.9
7.95,12.0,4.13,49.62,300.31,99.9
7.96,12.0,4.13,49.62,300.71,99.9
7.97,12.0,4.14,49.62,301.10,99.9
7.98,12.0,4.14,49.62,301.50,99.9
7.99,12.0,4.14,49.62,301.90,99.9
8.00,12.0,4.14,49.63,302.29,99.9
8.01,12.0,4.14,49.63,302.69,99.9
8.01,12.0,4.14,49.63,303.09,99.9
8.02,12.0,4.14,49.63,303.49,99.9
8.03,12.0,4.14,49.63,303.88,99.9
8.04,12.0,0.67,8.01,303.95,99.9
8.05,12.0,0.67,8.01,304.01,99.9
8.05,12.0,0.67,8.01,304.08,99.9
8.06,12.0,0.67,8.01,304.14,99.9
8.07,12.0,0.67,8.01,304.20,99.9
8.07,12.0,0.67,8.01,304.27,99.9
8.08,12.0,0.67,8.01,304.33,99.9
8.09,12.0,0.67,8.01,304.40,99.9
8.10,12.0,0.67,8.01,304.46,99.9
8.11,12.0,0.67,8.01,304.52,99.9
8.11,12.0,0.67,8.01,304.59,99.9
8.12,12.0,0.67,8.01,304.65,99.9
8.13,12.0,0.67,8.01,304.72,99.9
8.14,12.0,0.67,8.01,304.78,99.9
8.14,12.0,0.67,8.01,304.84,99.9
8.15,12.0,0.67,8.01,304.91,99.9
8.16,12.0,0.67,8.01,304.97,99.9
8.17,12.0,0.67,8.01,305.04,99.9
8.18,12.0,0.67,8.01,305.10,99.9
8.19,12.0,0.67,8.01,305.16,99.9
8.20,12.0,0.67,8.01,305.23,99.9
8.21,12.0,0.67,8.01,305.29,99.9
8.22,12.0,0.67,8.01,305.36,99.9
8.23,12.0,0.67,8.01,305.42,99.9
8.24,12.0,0.67,8.01,305.49,99.9
8.25,12.0,0.67,8.01,305.55,99.9
8.26,12.0,0.67,8.01,305.61,99.9
8.27,12.0,0.67,8.01,305.68,99.9
8.28,12.0,1.33,15.99,305.81,99.9
8.29,12.0,1.44,17.27,305.94,99.9
8.29,12.0,2.22,26.65,306.16,99.9
8.30,12.0,2.42,29.04,306.39,99.9
8.31,12.0,2.60,31.19,306.64,99.9
8.32,12.0,2.81,33.67,306.91,99.9
8.32,12.0,3.03,36.37,307.20,99.9
8.33,12.0,3.23,38.74,307.51,99.9
8.34,12.0,3.40,40.86,307.84,99.9
8.34,12.0,3.56,42.77,308.18,99.9
8.35,12.0,3.70,44.46,308.53,99.9
8.36,12.0,3.83,46.01,308.90,99.9
8.37,12.0,3.95,47.41,309.28,99.9
8.37,12.0,4.06,48.66,309.67,99.9
8.38,12.0,4.15,49.79,310.07,99.9
8.39,12.0,4.23,50.81,310.47,99.9
8.40,12.0,4.31,51.73,310.89,99.9
8.41,12.0,4.38,52.55,311.31,99.9
8.42,12.0,4.44,53.30,311.74,99.9
8.43,12.0,4.50,53.97,312.17,99.9
8.43,12.0,4.55,54.57,312.60,99.9
8.44,12.0,4.59,55.11,313.04,99.9
8.45,12.0,4.63,55.60,313.49,99.9
8.47,12.0,4.67,56.03,313.94,99.9
8.48,12.0,4.70,56.43,314.39,99.9
8.49,12.0,4.73,56.78,314.84,99.9
8.50,12.0,4.76,57.07,315.30,99.9
8.51,12.0,4.77,57.29,315.76,99.9
8.52,12.0,4.79,57.48,316.22,99.9
8.53,12.0,4.80,57.66,316.68,99.9
8.53,12.0,4.82,57.82,317.14,99.9
8.54,12.0,4.83,57.96,317.61,99.9
8.55,12.0,4.84,58.09,318.07,99.9
8.56,12.0,4.85,58.21,318.54,99.9
8.57,12.0,4.86,58.31,319.00,99.9
8.58,12.0,4.87,58.41,319.47,99.9
8.59,12.0,4.87,58.49,319.94,99.9
8.59,12.0,4.88,58.57,320.41,99.9
8.60,12.0,4.89,58.64,320.88,99.9
8.61,12.0,4.89,58.70,321.34,99.9
8.62,12.0,4.90,58.75,321.82,99.9
8.62,12.0,4.90,58.80,322.29,99.9
8.63,12.0,4.90,58.85,322.76,99.9
8.63,12.0,4.91,58.89,323.23,99.9
8.64,12.0,4.91,58.93,323.70,99.9
8.65,12.0,4.91,58.96,324.17,99.8
8.66,12.0,4.92,58.99,324.64,99.8
8.66,12.0,4.92,59.01,325.11,99.8
8.67,12.0,4.92,59.04,325.59,99.8
8.68,12.0,4.92,59.06,326.06,99.8
8.69,12.0,4.92,59.08,326.53,99.8
8.70,12.0,4.93,59.21,327.01,99.8
8.70,12.0,4.96,59.46,327.48,99.8
8.71,12.0,4.98,59.77,327.96,99.8
8.72,12.0,5.01,60.12,328.44,99.8
8.73,12.0,5.04,60.54,328.92,99.8
8.74,12.0,5.08,60.96,329.41,99.8
8.75,12.0,5.12,61.40,329.90,99.8
8.76,12.0,5.15,61.84,330.40,99.8
8.77,12.0,5.20,62.38,330.90,99.8
8.78,12.0,5.24,62.94,331.40,99.8
8.79,12.0,5.29,63.51,331.91,99.8
8.81,12.0,5.34,64.03,332.42,99.8
8.81,12.0,5.37,64.50,332.94,99.8
8.83,12.0,5.41,64.92,333.46,99.8
8.83,12.0,5.44,65.30,333.98,99.8
8.84,12.0,5.40,64.80,334.50,99.8
8.85,12.0,0.67,8.01,334.56,99.8
8.86,12.0,0.67,8.01,334.63,99.8
8.87,12.0,0.67,8.01,334.69,99.8
8.88,12.0,0.67,8.01,334.75,99.8
8.88,12.0,0.67,8.01,334.82,99.8
8.89,12.0,0.67,8.01,334.88,99.8
8.90,12.0,0.67,8.01,334.95,99.8
8.90,12.0,0.67,8.01,335.01,99.8
8.91,12.0,0.67,8.01,335.07,99.8
8.92,12.0,0.67,8.01,335.14,99.8
8.92,12.0,0.67,8.01,335.20,99.8
8.93,12.0,0.67,8.01,335.27,99.8
8.94,12.0,0.67,8.01,335.33,99.8
8.95,12.0,0.67,8.01,335.39,99.8
8.95,12.0,0.67,8.01,335.46,99.8
8.96,12.0,0.67,8.01,335.52,99.8
8.97,12.0,0.67,8.01,335.59,99.8
8.98,12.0,0.67,8.01,335.65,99.8
8.99,12.0,0.67,8.01,335.71,99.8
9.00,12.0,0.67,8.01,335.78,99.8
9.01,12.0,0.67,8.01,335.84,99.8
9.02,12.0,0.67,8.01,335.91,99.8
9.02,12.0,0.67,8.01,335.97,99.8
9.03,12.0,0.67,8.01,336.04,99.8
9.05,12.0,0.67,8.01,336.10,99.8
9.06,12.0,0.67,8.01,336.16,99.8
9.07,12.0,0.67,8.01,336.23,99.8
9.08,12.0,0.67,8.01,336.29,99.8
9.09,12.0,0.67,8.01,336.36,99.8
9.10,12.0,0.67,8.01,336.42,99.8
9.11,12.0,0.67,8.01,336.48,99.8
9.11,12.0,0.67,8.01,336.55,99.8
9.12,12.0,0.67,8.01,336.61,99.8
9.13,12.0,0.67,8.01,336.68,99.8
9.14,12.0,0.67,8.01,336.74,99.8
9.15,12.0,0.67,8.01,336.80,99.8
9.15,12.0,0.67,8.01,336.87,99.8
9.16,12.0,0.67,8.01,336.93,99.8
9.17,12.0,0.67,8.01,337.00,99.8
9.18,12.0,0.67,8.01,337.06,99.8
9.18,12.0,0.67,8.01,337.12,99.8
9.19,12.0,1.95,23.41,337.31,99.8
9.20,12.0,2.05,24.60,337.51,99.8
9.20,12.0,2.23,26.76,337.72,99.8
9.21,12.0,2.39,28.70,337.95,99.8
9.22,12.0,2.63,31.54,338.20,99.8
9.23,12.0,2.86,34.27,338.48,99.8
9.23,12.0,3.06,36.70,338.77,99.8
9.24,12.0,3.23,38.81,339.08,99.8
9.25,12.0,3.37,40.49,339.41,99.8
9.26,12.0,3.49,41.86,339.74,99.8
9.27,12.0,3.58,42.91,340.08,99.8
9.28,12.0,3.05,36.65,340.38,99.8
9.29,12.0,3.84,46.09,340.75,99.8
9.30,12.0,4.01,48.09,341.13,99.8
9.31,12.0,4.17,50.01,341.53,99.8
9.32,12.0,4.32,51.88,341.95,99.8
9.33,12.0,4.46,53.56,342.38,99.8
9.34,12.0,4.59,55.07,342.82,99.8
9.35,12.0,4.70,56.43,343.27,99.8
9.36,12.0,4.80,57.66,343.73,99.8
9.37,12.0,4.90,58.76,344.20,99.8
9.38,12.0,4.98,59.75,344.68,99.8
9.39,12.0,5.05,60.65,345.16,99.8
9.39,12.0,5.12,61.45,345.65,99.8
9.40,12.0,5.18,62.18,346.15,99.8
9.41,12.0,5.24,62.83,346.65,99.8
9.42,12.0,5.28,63.41,347.16,99.8
9.43,12.0,5.33,63.94,347.67,99.8
9.44,12.0,5.37,64.42,348.19,99.8
9.44,12.0,5.40,64.84,348.71,99.8
9.45,12.0,5.44,65.23,349.23,99.8
9.46,12.0,5.46,65.58,349.75,99.8
9.46,12.0,5.49,65.89,350.28,99.8
9.47,12.0,5.51,66.17,350.81,99.8
9.48,12.0,5.54,66.42,351.34,99.8
9.49,12.0,5.55,66.65,351.87,99.8
9.49,12.0,5.57,66.85,352.41,99.8
9.50,12.0,5.59,67.04,352.94,99.8
9.51,12.0,5.60,67.20,353.48,99.8
9.52,12.0,5.61,67.35,354.02,99.8
9.53,12.0,5.62,67.48,354.56,99.8
9.54,12.0,5.63,67.61,355.10,99.8
9.54,12.0,5.64,67.71,355.64,99.8
9.55,12.0,5.65,67.81,356.19,99.8
9.56,12.0,5.66,67.90,356.73,99.8
9.57,12.0,5.66,67.98,357.27,99.8
9.58,12.0,5.67,68.05,357.82,99.8
9.59,12.0,5.68,68.11,358.36,99.8
9.60,12.0,5.68,68.17,358.91,99.8
9.61,12.0,5.69,68.22,359.45,99.8
9.62,12.0,5.69,68.27,360.00,99.8
9.63,12.0,5.69,68.31,360.55,99.8
9.64,12.0,5.70,68.35,361.09,99.8
9.65,12.0,5.69,68.28,361.64,99.8
9.66,12.0,5.68,68.21,362.19,99.8
9.67,12.0,5.64,67.71,362.73,99.8
9.68,12.0,5.61,67.27,363.26,99.8
9.69,12.0,5.55,66.65,363.80,99.8
9.69,12.0,5.51,66.09,364.33,99.8
9.70,12.0,5.45,65.37,364.85,99.8
9.71,12.0,5.38,64.50,365.37,99.8
9.72,12.0,5.30,63.62,365.87,99.8
9.72,12.0,5.23,62.78,366.38,99.8
9.73,12.0,5.17,61.99,366.87,99.8
9.74,12.0,5.11,61.28,367.36,99.8
9.75,12.0,5.05,60.64,367.85,99.8
9.75,12.0,5.01,60.07,368.33,99.8
9.76,12.0,4.96,59.55,368.81,99.8
9.77,12.0,4.92,59.09,369.28,99.8
9.77,12.0,4.90,58.74,369.75,99.8
9.78,12.0,4.88,58.61,370.22,99.8
9.79,12.0,4.88,58.60,370.69,99.8
9.80,12.0,4.89,58.67,371.15,99.8
9.81,12.0,4.90,58.80,371.63,99.8
9.82,12.0,4.91,58.92,372.10,99.8
9.82,12.0,4.93,59.13,372.57,99.8
9.83,12.0,4.96,59.58,373.05,99.8
9.84,12.0,5.02,60.20,373.53,99.8
9.85,12.0,5.07,60.83,374.01,99.8
9.86,12.0,5.12,61.44,374.51,99.8
9.87,12.0,5.17,61.98,375.00,99.8
9.88,12.0,5.21,62.51,375.50,99.8
9.90,12.0,5.25,62.98,376.01,99.8
9.91,12.0,5.28,63.41,376.51,99.8
9.91,12.0,5.32,63.83,377.02,99.8
9.92,12.0,5.35,64.24,377.54,99.8
9.93,12.0,5.38,64.61,378.05,99.8
9.94,12.0,5.42,64.98,378.57,99.8
9.95,12.0,5.45,65.35,379.10,99.8
9.96,12.0,5.47,65.69,379.62,99.8
9.97,12.0,5.50,65.99,380.15,99.8
9.98,12.0,5.52,66.26,380.68,99.8
9.98,12.0,5.54,66.50,381.21,99.8
9.99,12.0,5.56,66.72,381.75,99.8
10.00,12.0,5.58,66.92,382.28,99.8
10.01,12.0,5.59,67.10,382.82,99.8
10.01,12.0,5.60,67.26,383.36,99.8
10.02,12.0,5.62,67.40,383.90,99.8
10.02,12.0,5.63,67.53,384.44,99.8
10.03,12.0,5.64,67.64,384.98,99.8
